"","locationID","Latitude","Longitude"
"699","1A9",32.4386,86.5128
"700","HUA",34.6786,86.6847
"701","3M8",33.3867,88.0067
"702","7A5",33.1292,85.3667
"703","AL25",32.2425,85.6011
"704","1AL4",30.5447,87.5594
"705","AL84",30.5586,87.6042
"706","AL81",30.5503,87.5833
"707","M22",34.445,87.7117
"708","5AL8",31.105,85.9931
"709","1A4",31.1028,86.0622
"710","4A6",34.6886,86.0058
"711","SEM",32.3439,86.9878
"712","S63",32.3667,87.1042
"713","AL74",30.7644,88.3058
"714","AL41",31.1161,85.6256
"715","AL56",32.5003,85.0833
"716","2R5",30.5019,88.275
"717","7A6",34.8864,85.8033
"718","4AL6",30.4669,87.6833
"719","NFD",30.5078,87.6456
"720","AL69",30.5086,87.4917
"721","SCD",33.1719,86.3056
"722","ASN",33.5694,86.0511
"723","41A",32.5147,85.8761
"724","2AL6",30.4994,88.1981
"725","3AL7",32.285,87.52
"726","AL77",31.7406,86.0069
"727","TOI",31.8606,86.0122
"728","TCL",33.2206,87.6114
"729","27AL",32.4536,85.5581
"730","06A",32.4606,85.68
"731","AL73",32.4919,85.7756
"732","07A",32.1669,85.8097
"733","M55",33.8467,88.1156
"734","25A",33.74,85.8258
"735","2AL3",32.4553,86.1192
"736","08A",32.5294,86.3283
"737","AL94",30.8128,88.3772
"738","AL17",33.2339,86.5131
"739","AL54",33.8633,87.8453
"740","M73",34.4122,91.4664
"741","41AR",34.1233,93.3497
"742","M89",34.0997,93.0661
"743","CVK",36.265,91.5628
"744","M60",35.2719,91.2697
"745","M74",35.2994,91.5578
"746","BVX",35.7261,91.6475
"747","1AR0",35.3986,91.1333
"748","AR23",35.1333,93.4753
"749","SUZ",34.5903,92.4794
"750","VBT",36.3458,94.2194
"751","4M1",36.3814,93.6244
"752","AR13",34.9861,92.6336
"753","BYH",35.9644,89.9439
"754","HKA",35.9403,89.8308
"755","4M2",35.1494,93.8622
"756","15AR",34.8258,90.5433
"757","M36",34.8803,91.1764
"758","12XS",34.9547,91.8372
"759","3AR3",35.0594,92.0819
"760","73AR",35.0486,92.0536
"761","3AR4",35.0056,92.0775
"762","9AR9",34.8875,91.9894
"763","AR28",34.9392,92.0247
"764","AR54",34.9186,91.915
"765","4AR2",34.91,92.0067
"766","4AR1",35.0414,92.1011
"767","4AR6",34.3792,93.6378
"768","37T",36.1644,92.1444
"769","CDH",33.6228,92.7633
"770","RBM",34.85,92.3003
"771","4M3",34.8083,91.7122
"772","6AR2",35.0203,93.065
"773","6AR1",36.2778,94.1967
"774","2AR5",36.3831,94.2939
"775","AR03",35.1186,93.2017
