GEOID,State,Urban,OHU2010,NUMGQTRS,PCTGQTRS,LowIncomeT,POP2010,UATYP10,PNT_COUNT,Shape_Area,areahalfmile,Shape_Area_1,areamile
36029015900,NY,1,1720,220,0.05121,0,4296,C,2,0.0002911077,1.0261204257,0.0006241816,2.2002703178
36051031400,NY,1,1985,72,0.015261,1,4718,C,1,0.0001489155,0.5244550744,0.000393838,1.3870521127
36085013400,NY,1,1537,0,0,0,3946,U,1,7.4359208201E-005,0.2699745377,9.0411641396E-005,0.328252836
36053030501,NY,1,1116,805,0.253783,0,3172,C,1,0.0001258093,0.4404738052,0.0003769083,1.3196586977
36055014804,NY,1,2659,20,0.002961,0,6754,U,1,0.0002255551,0.7852721238,0.0008557066,2.9791148407
36055015301,NY,1,215,2456,0.841384,1,2919,C,1,0.0001696082,0.5912124606,0.0002943278,1.0259937239
36085017010,NY,1,2987,0,0,0,8583,U,1,9.9444258374E-005,0.361144311,0.0001181905,0.4292256927
36085019800,NY,1,2136,88,0.013968,0,6300,U,1,0.0001171609,0.4256933379,0.0003650951,1.3265731445
36085020801,NY,1,3150,12,0.001337,0,8977,U,1,0.0001412474,0.5130005358,0.0002781758,1.0102720101
36085029102,NY,1,980,7,0.002371,0,2953,U,1,0.0001322971,0.4800408132,0.0004887537,1.7734299813
36055001800,NY,1,2353,0,0,1,5182,U,3,0.0001981323,0.6907145471,0.0003713177,1.2945124333
36055002900,NY,1,2376,176,0.047059,0,3740,U,1,7.1501923109E-005,0.2494781161,8.9988608991E-005,0.3139784605
36055003805,NY,1,2514,2494,0.343858,1,7253,U,2,0.0002979889,1.040245767,0.0007476659,2.6099517129
36055004000,NY,1,464,0,0,1,1327,U,1,3.9298657456E-005,0.1370804397,3.9298656573E-005,0.1370804366
36059302101,NY,1,1380,0,0,0,4309,U,4,0.0001748252,0.6325070776,0.0003757996,1.35969075
36059302600,NY,1,841,0,0,0,2339,U,1,4.9253402229E-005,0.1783945987,4.9253400066E-005,0.1783945909
36059302900,NY,1,1422,8,0.001847,0,4332,U,1,5.4139767174E-005,0.1960719666,0.0001448492,0.524547672
36087010702,NY,1,1078,57,0.013228,1,4309,U,1,6.9736706926E-005,0.2508378333,8.3819928304E-005,0.3014989361
36087010801,NY,1,1433,23,0.005245,0,4385,U,1,0.0002182564,0.7852721261,0.0007322528,2.6346731409
36087011102,NY,1,2421,7,0.001187,0,5895,U,4,0.000449084,1.6177135518,0.0008599603,3.0977317833
36055009200,NY,1,584,0,0,1,1303,U,1,0.000106942,0.3730273166,0.0001145575,0.3995902753
36055010400,NY,1,2164,22,0.004356,0,5051,U,2,6.5700289769E-005,0.2290558739,0.0002123121,0.7401528159
36059303600,NY,1,2903,8,0.001158,0,6911,U,2,0.0001100936,0.398660088,0.000183089,0.6630158412
36059405700,NY,1,1595,0,0,0,4670,U,1,7.9374801414E-005,0.2876772362,0.0001599702,0.5797880151
36059406001,NY,1,1482,8,0.001737,0,4607,U,1,0.0001126232,0.4080987322,0.0001407158,0.5099016232
36059407801,NY,1,1801,8,0.001464,0,5466,U,1,8.1740874517E-005,0.296079778,0.0001423214,0.5154785349
36059408200,NY,1,2079,24,0.003581,0,6702,U,2,9.6364431331E-005,0.3490799998,0.0002253111,0.8162225088
36089490200,NY,1,1609,46,0.011995,0,3835,C,3,0.0001555296,0.5268899039,0.0003718574,1.2597094265
36103135301,NY,1,1258,15,0.00404,0,3713,U,2,0.0001473311,0.5328414885,0.0004453139,1.6104716246
