"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"549","RT @KirkDBorne: #BigData + Data Discovery + #DataScience convergence = Next Big Trend In Analytics: https://t.co/kooHjyRLTn https://t.co/8W…",FALSE,0,NA,2016-03-15 20:29:06,FALSE,NA,"709838857060093952",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","keijo_j_k",54,TRUE,FALSE,NA,NA
"550","RT @KirkDBorne: Thank you Richard @GazzaToGo for sharing the #DataProduct discussion and the #DataScience love!
#DataProductChat",FALSE,0,NA,2016-03-15 20:28:59,FALSE,NA,"709838830023499777",NA,"<a href=""http://www.rabianuray.net"" rel=""nofollow"">Data Science Wire</a>","sentiwire",2,TRUE,FALSE,NA,NA
"551","Thank you Richard @GazzaToGo for sharing the #DataProduct discussion and the #DataScience love!
#DataProductChat",FALSE,2,"GazzaToGo",2016-03-15 20:28:30,FALSE,"709833460223967232","709838707742748672","20284857","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KirkDBorne",2,FALSE,FALSE,NA,NA
"552","RT @KirkDBorne: #DataProductChat A4: @NeilRaden @SwimDrukes The Scientific Method must never be dead, otherwise it is no #DataScience, but …",FALSE,0,NA,2016-03-15 20:27:53,FALSE,NA,"709838552922722306",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","DrAndyPardoe",2,TRUE,FALSE,NA,NA
"553","RT @EvanSinar: The Data Science Process, Rediscovered https://t.co/9Jh5GqD96A @kdnuggets #datascience #Analytics https://t.co/CxsoQnX33L",FALSE,0,NA,2016-03-15 20:27:47,FALSE,NA,"709838526737682432",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","keijo_j_k",34,TRUE,FALSE,NA,NA
"554","RT @KirkDBorne: .@2rkiva #Sailfish attacks #BigData Skills Gap with Social Data Sharing, #DataScience tools, and Answers On Demand: https:/…",FALSE,0,NA,2016-03-15 20:27:15,FALSE,NA,"709838392096382976",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","renato_umeton",1,TRUE,FALSE,NA,NA
"555","RT @DadiCharles: SMOTE algorithm is definitely the best method to deal with unbalanced dataset ! https://t.co/JjwXANEHMp #datascience https…",FALSE,0,NA,2016-03-15 20:26:32,FALSE,NA,"709838213251276801",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","H_Suarez_Roca",3,TRUE,FALSE,NA,NA
"556","The societal &amp; cultural implications of the #robotics revolution will be staggering: https://t.co/vnovKZ6LWB #BigData #DataScience",FALSE,0,NA,2016-03-15 20:26:00,FALSE,NA,"709838077418672128",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jlmico",1,FALSE,FALSE,NA,NA
"557","RT @jlmico: Meet Connie, The Next Level In Hospitality: https://t.co/ixcexSErGe #BigData #DataScience #Wearables #IoT #Robotics https://t.c…",FALSE,0,NA,2016-03-15 20:25:57,FALSE,NA,"709838062885318660",NA,"<a href=""http://www.rabianuray.net"" rel=""nofollow"">Data Science Wire</a>","sentiwire",1,TRUE,FALSE,NA,NA
"558","Meet Connie, The Next Level In Hospitality: https://t.co/ixcexSErGe #BigData #DataScience #Wearables #IoT #Robotics https://t.co/iK9gYQg16g",FALSE,0,NA,2016-03-15 20:25:56,FALSE,NA,"709838061178384384",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jlmico",1,FALSE,FALSE,NA,NA
